#Scheduling List for Fall 2024
CourseCode+Sec#, Course Code, Course Title, Units, Instructor, Days, Time
CS4280 - 001, CS4280, NoSQL Database Systems, 3, "Kim, Dae Hee", MWF, 2:00P - 2:50P
CS4280 - 002, CS4280, NoSQL Database Systems (LAB), 0, "Kim, Dae Hee", Arr, Arr
CS4300 - 001, CS4300, Compiler Theory, 3, "Liang, Xuejun", TR, 9:30A - 10:45A
CS4300 - 002, CS4300, Compiler Theory (LAB), 0, "Liang, Xuejun", Arr, Arr
CS4410 - 001, CS4410, Automata Comp & Formal Lang, 3, "Liang, Xuejun", MWF, 1:00P - 1:50P
CS4410 - 002, CS4410, Automata Comp & Formal Lang, 3, "Tenure Track, Faculty", MWF, 10:00A - 10:50A
CS4440 - 001, CS4440, Theory of Algorithms, 3, "Liang, Xuejun", TR, 2:00P - 3:15P
CS4480 - 001, CS4480, Artificial Intelligence, 3, "Koh, Kyu Han", Arr, Arr
CS4480 - 002, CS4480, Artificial Intelligence (LAB), 0, "Koh, Kyu Han", Arr, Arr
CS4520 - 001, CS4520, Graph Data Analytics, 3, "Hatem, Ayat", MWF, 10:00A - 10:50A
CS4520 - 002, CS4520, Graph Data Analytics (ACT), 0, "Hatem, Ayat", Arr, Arr
CS4840 - 001, CS4840, Cybersecurity Fundamentals, 3, "Grujic, Olivera", MWF, 3:00P - 3:50P
CS4840 - 002, CS4840, Cybersecurity Fundamentals (LAB), 0, "Grujic, Olivera", Arr, Arr
CS4910 - 001, CS4910, Cooperative Education, 1-3, "Tenure Track, Faculty", Arr, Arr
CS4960 - 001, CS4960, Seminar in Computer Science, 1, "Koh, Kyu Han", R, 3:30P - 4:20P
CS4960 - 002, CS4960, Seminar in Computer Science, 1, "Kim, Dae Hee", W, 5:00P - 5:50P
CS4960 - 003, CS4960, Seminar in Computer Science, 1, "Liang, Xuejun", T, 3:30P - 4:20P
CS4980 - 001, CS4980, Individual Study, 1-4, "Tenure Track, Faculty", Arr, Arr

PHIL4401 - 001, PHIL4401, Professional Ethics, 3, "Albright, Ian", Arr, Arr
PHIL4401 - 002, PHIL4401, Professional Ethics, 3, "Alvarez, Rocio", Arr, Arr
PHIL4401 - 003, PHIL4401, Professional Ethics, 3, "Albright, Ian", MWF, 12:00P - 12:50P
PHIL4401 - 004, PHIL4401, Professional Ethics, 3, "Alvarez, Rocio", MW, 12:00P - 12:50P
PHIL4401 - 005, PHIL4401, Professional Ethics, 3, "Brown, Mark", Arr, Arr
PHIL4401 - 006, PHIL4401, Professional Ethics, 3, "Nagel, Chris", Arr, Arr
PHIL4401 - 007, PHIL4401, Professional Ethics, 3, "Brown, Mark", Arr, Arr

MATH1410 - 001, MATH1410, Calculus I, 4, "Martin, David", MWF, 11:00A - 11:50A
MATH1410 - 002, MATH1410, Calculus I, 4, "Wu, Yanhong", MWF, 2:00P - 2:50P
MATH1412 - 001, MATH1412, Calculus I (LAB), 1, "Bortner, Cashous", M, 3:00P - 4:50P
MATH1420 - 001, MATH1420, Calculus II, 4, "Jue, Brian", TMWF, 8:30A - 9:20A
MATH1422 - 001, MATH1422, Calculus II (LAB), 1, "Bortner, Cashous", W, 3:00P - 4:50P
MATH 1620 - 001, MATH1620, Probability and Statistics, 4, "N/A, N/A", N/A
MATH1600 - 001, MATH1600, Statistics, 4, "Wu, Yanhong", MWF, 12:00P - 12:50P
MATH1600 - 002, MATH1600, Statistics (LAB), 4, "Wu, Yanhong", T, 12:00P - 1:50P
MATH1600 - 005, MATH1600, Statistics, 4, "Bautista, Elda", MWF, 10:00A - 10:50A
MATH1600 - 006, MATH1600, Statistics (LAB), 4, "Bautista, Elda", MW, 11:00A - 11:50A
MATH1600 - 007, MATH1600, Statistics, 4, "Estrada, Emmanuel", MWF, 1:00P - 1:50P
MATH1600 - 008, MATH1600, Statistics (LAB), 4, "Estrada, Emmanuel", MW, 2:00P - 2:50P
MATH1600 - 009, MATH1600, Statistics, 4, "Sarhad, Jonathan", MWF, 3:00P - 3:50P
MATH1600 - 010, MATH1600, Statistics (LAB), 4, "Sarhad, Jonathan", MW, 4:00P - 4:50P
MATH1600 - 011, MATH1600, Statistics, 4, "Malekzadeh, Behrouz", TR, 5:00P - 6:15P
MATH1600 - 012, MATH1600, Statistics (LAB), 4, "Malekzadeh, Behrouz", TR, 6:20P - 7:10P
MATH1600 - 013, MATH1600, Statistics, 4, "Sekhon, Manpreet", TR, 9:30A - 10:45A
MATH1600 - 014, MATH1600, Statistics (LAB), 4, "Sekhon, Manpreet", TR, 10:50A - 11:40A
MATH1600 - 015, MATH1600, Statistics, 4, "Estrada, Emmanuel", MW, 5:00P - 6:15P
MATH1600 - 016, MATH1600, Statistics (LAB), 4, "Estrada, Emmanuel", MW, 6:20P - 7:10P
MATH1602 - 001, MATH1602, Statistics with Support II, 3, "Zeng, Zhi", MW, 10:00A - 10:50A
MATH1602 - 002, MATH1602, Statistics with Support II (LAB), 3, "Zeng, Zhi", MW, 11:00A - 11:50A
MATH1602 - 003, MATH1602, Statistics with Support II, 3, "Aghassi, Valeh", TR, 4:00P - 4:50P
MATH1602 - 004, MATH1602, Statistics with Support II (LAB), 3, "Aghassi, Valeh", TR, 5:00P - 5:50P
MATH2300 - 001, MATH2300, Discrete Structures, 3, "Sarhad, Jonathan", MWF, 11:00A - 11:50A

PHYS2250 - 001, PHYS2250, General Physics I, 4, "Veatch, Jason", MWF, 11:00A - 11:50A
PHYS2250 - 002, PHYS2250, General Physics I (DIS), 0, "Veatch, Jason", T, 11:00A - 11:50A
PHYS2252 - 001, PHYS2252, General Physics I (LAB), 1, "Part-Time Faculty", M, 2:00P - 4:50P
PHYS2252 - 002, PHYS2252, General Physics I (LAB), 1, "Muoio, Ryan", T, 2:00P - 4:50P
PHYS2260 - 001, PHYS2260, General Physics II, 4, "N/A, N/A", N/A, N/A
PHYS2262 - 001, PHYS2262, General Physics II (LAB), 1, "N/A, N/A", N/A, N/A
PHYS4250 - 001, PHYS4250, Analog and Digital Electronics, 4, "To, Wing", TR, 2:00P - 3:15P
PHYS4250 - 002, PHYS4250, Analog and Digital Electronics (LAB), 0, "To, Wing", W, 2:00P - 4:50P

CHEM1100 - 001, CHEM1100, General Chemistry I, 4, "Stone, Koni", MWF, 10:00A - 10:50A
CHEM1100 - 002, CHEM1100, General Chemistry I (DIS), 0, "Issavi, Halin", M, 1:00P - 1:50P
CHEM1100 - 003, CHEM1100, General Chemistry I (DIS), 0, "Issavi, Halin", T, 12:00P - 12:50P
CHEM1100 - 004, CHEM1100, General Chemistry I (DIS), 0, "Issavi, Halin", T, 1:00P - 1:50P
CHEM1100 - 005, CHEM1100, General Chemistry I, 4, "Stessman, Y Nhu", MWF, 11:00A - 11:50A
